,id,ANCHEYEAR,STATE,FUNDAM,EMPNUM,EMPNUMSIGN,BUSSTNAME,COLGRANUM,RETSOLNUM,DISPERNUM,UNENUM,COLEMPLNUM,RETEMPLNUM,DISEMPLNUM,UNEEMPLNUM,WEBSITSIGN,FORINVESTSIGN,STOCKTRANSIGN,PUBSTATE,label
0,f000950527a6feb63ee1ce82bb22ddd1ab8b8fdffa3b91fb,2017.0,2.0,,4.0,2.0,开业,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0
1,f000950527a6feb63ee1ce82bb22ddd1ab8b8fdffa3b91fb,2018.0,2.0,,3.0,2.0,开业,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0
2,e9f7b28ec10e0470287f274dd5a327519e74d2eb9506faad,2016.0,2.0,,8.0,2.0,开业,,,,,,,,,2.0,2.0,2.0,3.0,0
3,e9f7b28ec10e0470287f274dd5a327519e74d2eb9506faad,2017.0,2.0,,8.0,2.0,开业,,,,,,,,,2.0,2.0,2.0,3.0,0
4,e9f7b28ec10e0470287f274dd5a327519e74d2eb9506faad,2018.0,2.0,,1.0,2.0,开业,,,,,,,,,2.0,2.0,2.0,3.0,0
5,47645761dc56bb8c9cf4307e6927e265abd90cc69d8a52f4,2018.0,2.0,,7.0,2.0,开业,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0
6,59b38c56de38368337c02379fdffc96b88f8609224b95bbd,2015.0,2.0,,11.0,2.0,开业,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,,3.0,0
7,59b38c56de38368337c02379fdffc96b88f8609224b95bbd,2017.0,2.0,,10.0,2.0,开业,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,2.0,,3.0,0
8,59b38c56de38368337c02379fdffc96b88f8609224b95bbd,2016.0,2.0,,10.0,1.0,开业,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,,2.0,0
9,59b38c56de38368337c02379fdffc96b88f8609224b95bbd,2018.0,2.0,,7.0,2.0,开业,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,,3.0,0
