,id,START_DATE,END_DATE,TAX_CATEGORIES,TAX_ITEMS,TAXATION_BASIS,TAX_RATE,DEDUCTION,TAX_AMOUNT,label
0,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/06/01,2016/06/30,个人所得税,工资薪金所得,,,,295.0,1
1,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/06/01,2016/06/30,个人所得税,工资薪金所得,,,,6410.82,1
2,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/06/01,2016/06/30,个人所得税,工资薪金所得,,,,25.68,1
3,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/06/01,2016/06/30,个人所得税,滞纳金,,,,1.92,1
4,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/06/01,2016/06/30,个人所得税,滞纳金,,,,41.67,1
5,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/06/01,2016/06/30,个人所得税,滞纳金,,,,0.17,1
6,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/07/01,2016/07/31,印花税,资金账簿,,,,330.0,1
7,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/07/01,2016/07/31,个人所得税,工资薪金所得,,,,121.11,1
8,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/07/01,2016/07/31,个人所得税,工资薪金所得,,,,7129.21,1
9,d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2016/07/01,2016/07/31,个人所得税,工资薪金所得,,,,294.5,1
10,47645761dc56bb8c2e2a2e2964dfd57f49f7015272c094e1,2016/08/01,2016/08/31,印花税,购销合同,,,,11.6,0
11,47645761dc56bb8c2e2a2e2964dfd57f49f7015272c094e1,2016/07/01,2016/07/31,印花税,购销合同,,,,1.88,0
12,f000950527a6feb651ffafbbe1e6c817c5ec446b2eb5b05e,2015/09/01,2015/09/30,个人所得税,各类非银行金融机构营业收入,3000.0,0.03,0.0,90.0,1
13,f000950527a6feb651ffafbbe1e6c817c5ec446b2eb5b05e,2015/09/01,2015/09/30,个人所得税,营业额,3000.0,0.03,0.0,90.0,1
14,f000950527a6feb651ffafbbe1e6c817c5ec446b2eb5b05e,2015/09/01,2015/09/30,个人所得税,生产用房,3000.0,0.03,0.0,90.0,1
15,f000950527a6feb651ffafbbe1e6c817c5ec446b2eb5b05e,2015/09/01,2015/09/30,个人所得税,工资薪金所得,3000.0,0.03,0.0,90.0,1
